name,crunchbase_uuid,type,primary_role,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description
nxtbgthng,81af1e72-1f84-fc69-63b1-c9df37f28a46,organization,company,https://www.crunchbase.com/organization/nxtbgthng?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,nxtbgthng.com,http://nxtbgthng.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1410611413/uvv8bu05npemeyycacc9.png",http://www.facebook.com/nxtbgthng,http://twitter.com/nxtbgthng,,:,Berlin,Berlin,DEU,Nxtbgthng is a company that makes mac and iPhone applications.
Bureau for Digital Good Berlin,ac6989b7-4a0b-882b-e4d5-cde72adb47ff,organization,company,https://www.crunchbase.com/organization/lgmi-berlin?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bureaufordigitalgood.com,http://bureaufordigitalgood.com/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1499253043/sqkp2lowctk7iktyn7t3.jpg",http://www.facebook.com/lgm.interactive,https://twitter.com/_BFDG,,:,Berlin,Berlin,DEU,Bureau for Digital Good Berlin is a Digital Storytelling for Sustainability
resmio,723ef21e-85f4-76a7-55c0-25be999dce08,organization,company,https://www.crunchbase.com/organization/resmio?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,resmio.com,http://www.resmio.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1429093177/riv7eqtsaf2na24ezkvi.png",http://www.facebook.com/Reservierungssystem,http://twitter.com/resmio,http://www.linkedin.com/company/resmio-ug-haftungsbeschr-nkt-,:,Berlin,Berlin,DEU,Marketing Automation & CRM Software for the restaurant industry
ExploreB2B,2c0e2869-f0be-adac-b4d5-f5b06f66b3b1,organization,company,https://www.crunchbase.com/organization/exploreb2b?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,exploreb2b.com,http://exploreB2B.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397189801/2c470d681528e59489c2ce4e8141532e.png",http://www.facebook.com/exploreB2BIntl,http://twitter.com/exploreB2B,http://www.linkedin.com/company/1646371,:,Berlin,Berlin,DEU,Social Expertise Discussion Platform.
FAST FORWARD IMAGING,7024290b-98bf-0be2-c5d5-802cabba8d68,organization,company,https://www.crunchbase.com/organization/fast-forward-imaging?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,fastforward-imaging.com,http://www.fastforward-imaging.com/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397190402/94db92929382c898c998997795ddd754.png",,https://twitter.com/ffwimaging,https://www.linkedin.com/company/fast-forward-imaging,:,Berlin,Berlin,DEU,FAST FORWARD Imaging is a B2B service provider for ecommerce and product manufacturers offering automatically cropped 360Â° product.
Visualnest,d33d4d52-2763-ca78-5577-61d1993fd31f,organization,company,https://www.crunchbase.com/organization/visualnest?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,trysubstance.com,http://www.TrySubstance.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1490593256/xcnjznjumg0cpuqqfejo.png",,http://twitter.com/TrySubstance,,:,Berlin,Berlin,DEU,"Visualnest, via its application Substance, transforms paper sketches into interactive models using a mobile phone's built-in camera."
Tame,142ddc36-be3a-93d2-abd5-75afa02dd196,organization,company,https://www.crunchbase.com/organization/tazaldoo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,tame.it,https://tame.it,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1485730590/ozmqjgqewhzz71m0fcv7.png",http://www.facebook.com/tameapp,http://twitter.com/tame_it,,:,Berlin,Berlin,DEU,Tazaldoo develops software solutions that help information workers find and analyze relevant content and sources on social media.
360report,c307adf9-4ed4-b96b-14a6-cb351a640e69,organization,company,https://www.crunchbase.com/organization/360report?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,360report.org,http://www.360report.org/en,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397190915/31e4044b28d7b5126236536ce9bd3d3f.tiff",http://www.facebook.com/pages/360report/239640699492317,,http://www.linkedin.com/company/360report-limited-liability-,:,Berlin,Berlin,DEU,360report is enables an organization to efficiently generate sustainability reports with certifiable conformance to a defined standard.
Scolibri,c4e3b9f1-49f0-e7f7-2a70-4f48bebd0f4f,organization,company,https://www.crunchbase.com/organization/scolibri?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,scolibri.com,http://www.scolibri.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1409917604/epjw0qjlp2avuquh1jxp.jpg",https://www.facebook.com/scolibri.deutschland,http://twitter.com/ScolibriBerlin,http://www.linkedin.com/company/3135168,:,Berlin,Berlin,DEU,"Scolibri is a learning management system, a moderated social network, and a content management system."
Spree7,5e314e66-01ea-9819-78a2-035f23f8d284,organization,company,https://www.crunchbase.com/organization/spree7?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,spree7.com,http://www.spree7.com/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397190975/5343cf5fc245fe7660762fb13081e5f8.jpg",http://www.facebook.com/Spree7GmbH,http://twitter.com/Spree7com,http://www.linkedin.com/company/spree7-gmbh-a-publigroupe-and-mediamath-company,:,Berlin,Berlin,DEU,Leading programmatic advertising provider in Germany
